# pack	reading	output	source	category
japanese	a	あっ	jmdict:2394370	everyday_expressions
japanese	a	アッ	jmdict:2394370	everyday_expressions
japanese	a'a	ああ	jmdict:1565440	everyday_expressions
japanese	a'a	ああ	jmdict:2085080	everyday_vocabulary
japanese	a'a'a'a	ああああ	jmdict:2538870	everyday_expressions
japanese	a'a'ba'n	アーバン	jmdict:1013670	everyday_vocabulary
japanese	a'a'che'ri'i	アーチェリー	jmdict:1013540	everyday_vocabulary
japanese	a'a'chi	アーチ	jmdict:1013530	everyday_vocabulary
japanese	a'a'chi'su'to	アーチスト	jmdict:1013560	everyday_vocabulary
japanese	a'a'i'u	ああいう	jmdict:2085090	everyday_expressions
japanese	a'a'i'u	ああ言う	jmdict:2085090	everyday_expressions
japanese	a'a'ke'e'do	アーケード	jmdict:1013470	everyday_vocabulary
japanese	a'a'ki'te'ku'cha	アーキテクチャ	jmdict:1013420	everyday_vocabulary
japanese	a'a'ku	アーク	jmdict:1013450	everyday_vocabulary
japanese	a'a'mo'n'do	アーモンド	jmdict:1013830	everyday_vocabulary
japanese	a'a'mu	アーム	jmdict:1013790	everyday_vocabulary
japanese	a'a'mu'jo'u	ああむじょう	jmnedict:5000089	taiwan_and_culture
japanese	a'a'mu'jo'u	ああ無情	jmnedict:5000089	taiwan_and_culture
japanese	a'a'mu'jo'u	噫無情	jmnedict:5000089	taiwan_and_culture
japanese	a'a'su	アース	jmdict:1013500	everyday_vocabulary
japanese	a'a'te'i'su'to	アーティスト	jmdict:1013560	everyday_vocabulary
japanese	a'a'to	アート	jmdict:1013640	everyday_vocabulary
japanese	a'ba're'ru	あばれる	jmdict:1519340	everyday_vocabulary
japanese	a'ba're'ru	暴れる	jmdict:1519340	everyday_vocabulary
japanese	a'ba'u'to	アバウト	jmdict:1017710	everyday_vocabulary
japanese	a'be'kku	アベック	jmdict:1018310	everyday_vocabulary
japanese	a'be'ko'be	あべこべ	jmdict:1000470	everyday_vocabulary
japanese	a'be'nyu'u	アベニュー	jmdict:1018320	everyday_vocabulary
japanese	a'be'yo'shi'tsu'gu	あべよしつぐ	jmnedict:5101896	taiwan_and_culture
japanese	a'be'yo'shi'tsu'gu	阿部よしつぐ	jmnedict:5101896	taiwan_and_culture
japanese	a'bi'da'tsu'ma'ku'sha'ro'n	あびだつまくしゃろん	jmnedict:5101797	taiwan_and_culture
japanese	a'bi'da'tsu'ma'ku'sha'ro'n	阿毘達磨倶舍論	jmnedict:5101797	taiwan_and_culture
japanese	a'bi'ru	あびる	jmdict:1547450	everyday_vocabulary
japanese	a'bi'ru	浴びる	jmdict:1547450	everyday_vocabulary
japanese	a'bi'se'ru	あびせる	jmdict:1547440	everyday_vocabulary
japanese	a'bi'se'ru	浴びせる	jmdict:1547440	everyday_vocabulary
japanese	a'bu'na'i	あぶない	jmdict:1218380	everyday_expressions
japanese	a'bu'na'i	危ない	jmdict:1218380	everyday_expressions
japanese	a'bu'ra	あぶら	jmdict:1311750	everyday_vocabulary
japanese	a'bu'ra	あぶら	jmdict:1538590	everyday_vocabulary
japanese	a'bu'ra	油	jmdict:1538590	everyday_vocabulary
japanese	a'bu'ra	脂	jmdict:1311750	everyday_vocabulary
japanese	a'bu'ra'e	あぶらえ	jmdict:1538630	everyday_vocabulary
japanese	a'bu'ra'e	油絵	jmdict:1538630	everyday_vocabulary
japanese	a'bu'ra'mi	あぶらみ	jmdict:1311790	everyday_vocabulary
japanese	a'bu'ra'mi	脂身	jmdict:1311790	everyday_vocabulary
japanese	a'chi'ko'chi	あちこち	jmdict:1612620	everyday_vocabulary
japanese	a'chi'ra	あちら	jmdict:1483185	everyday_vocabulary
japanese	a'chi'ra'ko'chi'ra	あちらこちら	jmdict:1612620	everyday_vocabulary
japanese	a'chi'ta'ro'u	あちたろう	jmnedict:5747556	taiwan_and_culture
japanese	a'chi'ta'ro'u	阿智太郎	jmnedict:5747556	taiwan_and_culture
japanese	a'da'mu'su'fu'a'mi'ri'i	アダムスファミリー	jmnedict:5009500	taiwan_and_culture
japanese	a'da'na	あだな	jmdict:1586450	everyday_vocabulary
japanese	a'da'na	あだ名	jmdict:1586450	everyday_vocabulary
japanese	a'da'pu'ta'a	アダプター	jmdict:1016460	everyday_vocabulary
japanese	a'da'ru'to	アダルト	jmdict:1016490	everyday_vocabulary
japanese	a'de'i'su'ta'n'to'mi'ra'a	アディスタントミラー	jmnedict:5009668	taiwan_and_culture
japanese	a'do	アド	jmdict:1016980	everyday_vocabulary
japanese	a'do'ba'i'su	アドバイス	jmdict:1017070	everyday_vocabulary
japanese	a'do'ba'i'za'a	アドバイザー	jmdict:1017060	everyday_vocabulary
japanese	a'do'ba'n'te'e'ji	アドバンテージ	jmdict:1017130	everyday_vocabulary
japanese	a'do'be'n'cha'a	アドベンチャー	jmdict:1017150	everyday_vocabulary
japanese	a'do're'na'ri'n	アドレナリン	jmdict:1017270	everyday_vocabulary
japanese	a'do're'su	アドレス	jmdict:1017240	everyday_vocabulary
japanese	a'do'ri'bu	アドリブ	jmdict:1017230	everyday_vocabulary
japanese	a'e'n	あえん	jmdict:1149590	everyday_vocabulary
japanese	a'e'n	亜鉛	jmdict:1149590	everyday_vocabulary
japanese	a'e'te	あえて	jmdict:1212850	everyday_vocabulary
japanese	a'e'te	敢えて	jmdict:1212850	everyday_vocabulary
japanese	a'fu're'ru	あふれる	jmdict:1167610	everyday_vocabulary
japanese	a'fu're'ru	溢れる	jmdict:1167610	everyday_vocabulary
japanese	a'fu'ri'ka	アフリカ	jmdict:1929050	everyday_vocabulary
japanese	a'fu'ru'ru'o'n'cho'u	あふるるおんちょう	jmnedict:5742445	taiwan_and_culture
japanese	a'fu'ru'ru'o'n'cho'u	あふるる恩寵	jmnedict:5742445	taiwan_and_culture
japanese	a'fu'ta'a	アフター	jmdict:1017930	everyday_vocabulary
japanese	a'fu'ta'nu'u'n	アフタヌーン	jmdict:1017990	everyday_vocabulary
japanese	a'fyi'ri'e'i'to	アフィリエイト	jmdict:2159850	everyday_vocabulary
japanese	a'fyu'u'gu'ddo'me'n	アフューグッドメン	jmnedict:5010058	taiwan_and_culture
japanese	a'ga'ri	あがり	jmdict:1352190	everyday_vocabulary
japanese	a'ga'ri	上がり	jmdict:1352190	everyday_vocabulary
japanese	a'ga'ru	あがる	jmdict:1352290	everyday_expressions
japanese	a'ga'ru	上がる	jmdict:1352290	everyday_expressions
japanese	a'ga'sa'ku'ri'su'te'i	アガサクリスティ	jmnedict:5008917	taiwan_and_culture
japanese	a'ga'tta'ri	あがったり	jmdict:1352180	everyday_vocabulary
japanese	a'ga'tta'ri	上がったり	jmdict:1352180	everyday_vocabulary
japanese	a'ge	あげ	jmdict:1352300	everyday_vocabulary
japanese	a'ge	あげ	jmdict:1545490	everyday_vocabulary
japanese	a'ge	上げ	jmdict:1352300	everyday_vocabulary
japanese	a'ge	揚げ	jmdict:1545490	everyday_vocabulary
japanese	a'ge'ku	あげく	jmdict:1586290	everyday_vocabulary
japanese	a'ge'ku	挙句	jmdict:1586290	everyday_vocabulary
japanese	a'ge'ru	あげる	jmdict:1352320	everyday_vocabulary
japanese	a'ge'ru	上げる	jmdict:1352320	everyday_vocabulary
japanese	a'go	あご	jmdict:1207560	everyday_vocabulary
japanese	a'go	顎	jmdict:1207560	everyday_vocabulary
japanese	a'gu'ra	あぐら	jmdict:1267520	everyday_vocabulary
japanese	a'gu'ra	胡坐	jmdict:1267520	everyday_vocabulary
japanese	a'gu're'sshi'bu	アグレッシブ	jmdict:1015570	everyday_vocabulary
japanese	a'hi'ru	アヒル	jmdict:1191810	everyday_vocabulary
japanese	a'ho	あほ	jmdict:1586600	everyday_vocabulary
japanese	a'ho	アホ	jmdict:1586600	everyday_vocabulary
japanese	a'ho	阿呆	jmdict:1586600	everyday_vocabulary
japanese	a'i	あい	jmdict:1150410	everyday_vocabulary
japanese	a'i	あい	jmdict:1549400	everyday_vocabulary
japanese	a'i	愛	jmdict:1150410	everyday_vocabulary
japanese	a'i	藍	jmdict:1549400	everyday_vocabulary
japanese	a'i'a'i'ba'ka'ma	あいあいばかま	jmnedict:5476666	taiwan_and_culture
japanese	a'i'a'i'ba'ka'ma	相合袴	jmnedict:5476666	taiwan_and_culture
japanese	a'i'a'n'ma'n	アイアンマン	jmnedict:5745136	taiwan_and_culture
japanese	a'i'bo'ri'i	アイボリー	jmdict:1014500	everyday_vocabulary
japanese	a'i'bo'u	あいぼう	jmdict:1401350	everyday_vocabulary
japanese	a'i'bo'u	相棒	jmdict:1401350	everyday_vocabulary
japanese	a'i'cha'ku	あいちゃく	jmdict:1575680	everyday_vocabulary
japanese	a'i'cha'ku	愛着	jmdict:1575680	everyday_vocabulary
japanese	a'i'da	あいだ	jmdict:1215230	everyday_vocabulary
japanese	a'i'da	間	jmdict:1215230	everyday_vocabulary
japanese	a'i'da'ga'ra	あいだがら	jmdict:1215660	everyday_vocabulary
japanese	a'i'da'ga'ra	間柄	jmdict:1215660	everyday_vocabulary
japanese	a'i'da'ju'u	あいだじゅう	jmdict:1215610	everyday_vocabulary
japanese	a'i'da'ju'u	間中	jmdict:1215610	everyday_vocabulary
japanese	a'i'de'a	アイデア	jmdict:1014210	everyday_vocabulary
japanese	a'i'de'i'a	アイディア	jmdict:1014210	everyday_vocabulary
japanese	a'i'de'n'te'i'te'i	アイデンティティ	jmdict:1014270	everyday_vocabulary
japanese	a'i'de'n'te'i'te'i'i	アイデンティティー	jmdict:1014270	everyday_vocabulary
japanese	a'i'do'ku	あいどく	jmdict:1150990	everyday_vocabulary
japanese	a'i'do'ku	愛読	jmdict:1150990	everyday_vocabulary
japanese	a'i'do'ru	アイドル	jmdict:1014340	everyday_vocabulary
japanese	a'i'go	あいご	jmdict:1150670	everyday_vocabulary
japanese	a'i'go	愛護	jmdict:1150670	everyday_vocabulary
japanese	a'i'ha'ra'ko'o'ji	あいはらコージ	jmnedict:5476616	taiwan_and_culture
japanese	a'i'ha'ra'ko'o'ji	相原コージ	jmnedict:5476616	taiwan_and_culture
japanese	a'i'ji'n	あいじん	jmdict:1150870	everyday_vocabulary
japanese	a'i'ji'n	愛人	jmdict:1150870	everyday_vocabulary
japanese	a'i'jo'u	あいじょう	jmdict:1150860	everyday_vocabulary
japanese	a'i'jo'u	愛情	jmdict:1150860	everyday_vocabulary
japanese	a'i'ka'wa'ra'zu	あいかわらず	jmdict:1401310	everyday_vocabulary
japanese	a'i'ka'wa'ra'zu	相変わらず	jmdict:1401310	everyday_vocabulary
japanese	a'i'ke'n	あいけん	jmdict:1150640	everyday_vocabulary
japanese	a'i'ke'n	愛犬	jmdict:1150640	everyday_vocabulary
japanese	a'i'ko'ku	あいこく	jmdict:1150710	everyday_vocabulary
japanese	a'i'ko'ku	愛国	jmdict:1150710	everyday_vocabulary
japanese	a'i'ko'n	アイコン	jmdict:1013920	everyday_vocabulary
japanese	a'i'ko'to'ba	あいことば	jmdict:1586060	everyday_vocabulary
japanese	a'i'ko'to'ba	合言葉	jmdict:1586060	everyday_vocabulary
japanese	a'i'ko'u	あいこう	jmdict:1150680	everyday_vocabulary
japanese	a'i'ko'u	愛好	jmdict:1150680	everyday_vocabulary
japanese	a'i'kyo'u	あいきょう	jmdict:1150620	everyday_vocabulary
japanese	a'i'kyo'u	愛嬌	jmdict:1150620	everyday_vocabulary
japanese	a'i'ma	あいま	jmdict:1284670	everyday_vocabulary
japanese	a'i'ma	合間	jmdict:1284670	everyday_vocabulary
japanese	a'i'ma'i	あいまい	jmdict:1567920	everyday_vocabulary
japanese	a'i'ma'i	曖昧	jmdict:1567920	everyday_vocabulary
japanese	a'i'ma'tte	あいまって	jmdict:1749070	everyday_vocabulary
japanese	a'i'ma'tte	相まって	jmdict:1749070	everyday_vocabulary
japanese	a'i'ne'ku	アイネク	jmnedict:5740971	taiwan_and_culture
