# pack	reading	output	dataset	category
geography	a'ba'li'wo'shou	阿爸禮握手	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'bao'keng	阿寶坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'gong'dian	阿公店	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'gong'dian'shui'ku	阿公店水庫	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'gong'dian'xi	阿公店溪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'hua'pu'bu	阿花瀑布	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'la'bo'gong'sha'tan'chong'lang'lu'xian	阿拉伯宮沙灘衝浪路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'la'bo'huang'gong	阿拉伯皇宮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'bai	阿里擺	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'bai'shan'bin'lang'guo'yuan'lu'xian	阿里擺山賓朗果園路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'bu'dong	阿里不動	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'bu'dong'bu'luo	阿里不動部落	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'guan	阿里關	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'lao'keng'nei	阿里老坑內	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'mei	阿里眉	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shan	阿里山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shan'chang'jian'niao'lei'jie'shao'pai	阿里山常見鳥類介紹牌	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shan'diao'qiao	阿里山吊橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shan'sen'lin'tie'lu'che'ku'yuan'qu	阿里山森林鐵路車庫園區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shan'xiang	阿里山鄉	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'li'shi	阿里史	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'lian'qu	阿蓮區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'lian'zhuang	阿蓮莊	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'ma'cuo	阿媽厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'mei'wen'hua'cun	阿美文化村	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'mei'zu	阿美族	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'yi'bei	阿義碑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	a'yu'wang'zhu	阿育王柱	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aa	暗鞍	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aaslx	唉唉山路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aasysyz	唉唉山疑似遺址	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ab	鞍部	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ab	安北	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ab	庵邊	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	abaquanshan	阿拔泉山	rudy-2026.09.03:upstream	geography_history
geography	abazaishan	阿拔仔山	rudy-2026.09.03:upstream	geography_history
geography	abk	阿寶坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ablws	阿爸禮握手	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	abtcdx	鞍部土產道線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	abxyd	鞍部小營地	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ac	安厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
