# kind	reading	output	frequency_rank	source
hiragana	a	あ	0	wanakana:5.3.1
hiragana	ba	ば	0	wanakana:5.3.1
hiragana	be	べ	0	wanakana:5.3.1
hiragana	bi	び	0	wanakana:5.3.1
hiragana	bo	ぼ	0	wanakana:5.3.1
hiragana	bu	ぶ	0	wanakana:5.3.1
hiragana	ca	か	0	wanakana:5.3.1
hiragana	ce	け	0	wanakana:5.3.1
hiragana	chi	ち	0	wanakana:5.3.1
hiragana	ci	き	0	wanakana:5.3.1
hiragana	co	こ	0	wanakana:5.3.1
hiragana	cu	く	0	wanakana:5.3.1
hiragana	da	だ	0	wanakana:5.3.1
hiragana	de	で	0	wanakana:5.3.1
hiragana	di	ぢ	0	wanakana:5.3.1
hiragana	do	ど	0	wanakana:5.3.1
hiragana	du	づ	0	wanakana:5.3.1
hiragana	e	え	0	wanakana:5.3.1
hiragana	fu	ふ	0	wanakana:5.3.1
hiragana	ga	が	0	wanakana:5.3.1
hiragana	ge	げ	0	wanakana:5.3.1
hiragana	gi	ぎ	0	wanakana:5.3.1
hiragana	go	ご	0	wanakana:5.3.1
hiragana	gu	ぐ	0	wanakana:5.3.1
hiragana	ha	は	0	wanakana:5.3.1
hiragana	he	へ	0	wanakana:5.3.1
hiragana	hi	ひ	0	wanakana:5.3.1
hiragana	ho	ほ	0	wanakana:5.3.1
hiragana	hu	ふ	0	wanakana:5.3.1
hiragana	i	い	0	wanakana:5.3.1
hiragana	ji	じ	0	wanakana:5.3.1
hiragana	ka	か	0	wanakana:5.3.1
hiragana	ke	け	0	wanakana:5.3.1
hiragana	ki	き	0	wanakana:5.3.1
hiragana	ko	こ	0	wanakana:5.3.1
hiragana	ku	く	0	wanakana:5.3.1
hiragana	la	ぁ	0	wanakana:5.3.1
hiragana	le	ぇ	0	wanakana:5.3.1
hiragana	li	ぃ	0	wanakana:5.3.1
hiragana	lo	ぉ	0	wanakana:5.3.1
hiragana	ltsu	っ	0	wanakana:5.3.1
hiragana	ltu	っ	0	wanakana:5.3.1
hiragana	lu	ぅ	0	wanakana:5.3.1
hiragana	lwa	ゎ	0	wanakana:5.3.1
hiragana	lya	ゃ	0	wanakana:5.3.1
hiragana	lye	ぇ	0	wanakana:5.3.1
hiragana	lyi	ぃ	0	wanakana:5.3.1
hiragana	lyo	ょ	0	wanakana:5.3.1
hiragana	lyu	ゅ	0	wanakana:5.3.1
hiragana	ma	ま	0	wanakana:5.3.1
hiragana	me	め	0	wanakana:5.3.1
hiragana	mi	み	0	wanakana:5.3.1
hiragana	mo	も	0	wanakana:5.3.1
hiragana	mu	む	0	wanakana:5.3.1
hiragana	n	ん	0	wanakana:5.3.1
hiragana	n'	ん	0	wanakana:5.3.1
hiragana	na	な	0	wanakana:5.3.1
hiragana	ne	ね	0	wanakana:5.3.1
hiragana	ni	に	0	wanakana:5.3.1
hiragana	nn	ん	0	wanakana:5.3.1
hiragana	no	の	0	wanakana:5.3.1
hiragana	nu	ぬ	0	wanakana:5.3.1
hiragana	o	お	0	wanakana:5.3.1
hiragana	pa	ぱ	0	wanakana:5.3.1
hiragana	pe	ぺ	0	wanakana:5.3.1
hiragana	pi	ぴ	0	wanakana:5.3.1
hiragana	po	ぽ	0	wanakana:5.3.1
hiragana	pu	ぷ	0	wanakana:5.3.1
hiragana	ra	ら	0	wanakana:5.3.1
hiragana	re	れ	0	wanakana:5.3.1
hiragana	ri	り	0	wanakana:5.3.1
hiragana	ro	ろ	0	wanakana:5.3.1
hiragana	ru	る	0	wanakana:5.3.1
hiragana	sa	さ	0	wanakana:5.3.1
hiragana	se	せ	0	wanakana:5.3.1
hiragana	shi	し	0	wanakana:5.3.1
hiragana	si	し	0	wanakana:5.3.1
hiragana	so	そ	0	wanakana:5.3.1
hiragana	su	す	0	wanakana:5.3.1
hiragana	ta	た	0	wanakana:5.3.1
hiragana	te	て	0	wanakana:5.3.1
hiragana	ti	ち	0	wanakana:5.3.1
hiragana	to	と	0	wanakana:5.3.1
hiragana	tsu	つ	0	wanakana:5.3.1
hiragana	tu	つ	0	wanakana:5.3.1
hiragana	u	う	0	wanakana:5.3.1
hiragana	vu	ゔ	0	wanakana:5.3.1
hiragana	wa	わ	0	wanakana:5.3.1
hiragana	whu	う	0	wanakana:5.3.1
hiragana	wo	を	0	wanakana:5.3.1
hiragana	wu	う	0	wanakana:5.3.1
hiragana	xa	ぁ	0	wanakana:5.3.1
hiragana	xe	ぇ	0	wanakana:5.3.1
hiragana	xi	ぃ	0	wanakana:5.3.1
hiragana	xn	ん	0	wanakana:5.3.1
hiragana	xo	ぉ	0	wanakana:5.3.1
hiragana	xtsu	っ	0	wanakana:5.3.1
hiragana	xtu	っ	0	wanakana:5.3.1
hiragana	xu	ぅ	0	wanakana:5.3.1
hiragana	xwa	ゎ	0	wanakana:5.3.1
hiragana	xya	ゃ	0	wanakana:5.3.1
hiragana	xye	ぇ	0	wanakana:5.3.1
hiragana	xyi	ぃ	0	wanakana:5.3.1
hiragana	xyo	ょ	0	wanakana:5.3.1
hiragana	xyu	ゅ	0	wanakana:5.3.1
hiragana	ya	や	0	wanakana:5.3.1
hiragana	yi	い	0	wanakana:5.3.1
hiragana	yo	よ	0	wanakana:5.3.1
hiragana	yu	ゆ	0	wanakana:5.3.1
hiragana	za	ざ	0	wanakana:5.3.1
hiragana	ze	ぜ	0	wanakana:5.3.1
hiragana	zi	じ	0	wanakana:5.3.1
hiragana	zo	ぞ	0	wanakana:5.3.1
hiragana	zu	ず	0	wanakana:5.3.1
kanji	a'i	間	33	kanjidic:U9593
kanji	a'i'da	間	33	kanjidic:U9593
kanji	a'i'te	対	34	kanjidic:U5BFE
