wiki-full	6581783	chensihan	陳思翰
wiki-initial	6581783	csh	陳思翰
wiki-mixed	6581783	csih	陳思翰
wiki-full	611020	zhangjie	張傑
wiki-initial	611020	zj	張傑
wiki-mixed	611020	zjie	張傑
wiki-full	4404526	zhangliang	張立昂
wiki-initial	4404526	zla	張立昂
wiki-mixed	4404526	zlia	張立昂
wiki-full	1229902	zhangshanwei	張善為
wiki-initial	1229902	zsw	張善為
wiki-mixed	1229902	zshanw	張善為
wiki-full	350715	zhanghongliang	張洪量
wiki-initial	350715	zhl	張洪量
wiki-mixed	350715	zhongl	張洪量
wiki-full	96400	zhangyu	張宇
wiki-initial	96400	zy	張宇
wiki-mixed	96400	zyu	張宇
wiki-full	1076920	zhangxinzhe	張信哲
wiki-initial	1076920	zxz	張信哲
wiki-mixed	1076920	zxinz	張信哲
wiki-full	321158	caoge	曹格
wiki-initial	321158	cg	曹格
wiki-mixed	321158	cge	曹格
wiki-full	387641	chenyiru	辰亦儒
wiki-initial	387641	cyr	辰亦儒
wiki-mixed	387641	cyir	辰亦儒
wiki-full	804984	chenbide	陳彼得
wiki-initial	804984	cbd	陳彼得
wiki-mixed	804984	cbid	陳彼得
wiki-full	1214608	chenzhongyi	陳忠義
wiki-initial	1214608	czy	陳忠義
wiki-mixed	1214608	czhongy	陳忠義
wiki-full	10520	chenbolin	陳柏霖
wiki-initial	10520	cbl	陳柏霖
wiki-mixed	10520	cbol	陳柏霖
wiki-full	1485146	chenhongshuo	陳鴻碩
wiki-initial	1485146	chs	陳鴻碩
wiki-mixed	1485146	chongs	陳鴻碩
wiki-full	1218999	chenjianqi	陳建騏
wiki-initial	1218999	cjq	陳建騏
wiki-mixed	1218999	cjianq	陳建騏
wiki-full	5608765	chenkehua	陳克華
wiki-initial	5608765	ckh	陳克華
wiki-mixed	5608765	ckeh	陳克華
wiki-full	6076953	chenyiting	陳奕廷
wiki-initial	6076953	cyt	陳奕廷
wiki-mixed	6076953	cyit	陳奕廷
wiki-full	6093190	zhenghaoxuan	正皓玄
wiki-initial	6093190	zhx	正皓玄
wiki-mixed	6093190	zhaox	正皓玄
wiki-full	721590	chenguanlin	陳冠霖
wiki-initial	721590	cgl	陳冠霖
wiki-mixed	721590	cguanl	陳冠霖
wiki-full	5701344	chenyonglong	陳永龍
wiki-initial	5701344	cyl	陳永龍
wiki-mixed	5701344	cyongl	陳永龍
wiki-full	7481347	chenguanyu	陳冠宇
wiki-initial	7481347	cgy	陳冠宇
wiki-mixed	7481347	cguany	陳冠宇
wiki-full	16675	chensheng	陳昇
wiki-initial	16675	cs	陳昇
wiki-mixed	16675	csheng	陳昇
wiki-full	5739697	chenhaosen	陳昊森
wiki-initial	5739697	chs	陳昊森
wiki-mixed	5739697	chaos	陳昊森
wiki-full	113071	chenmingzhang	陳明章
wiki-initial	113071	cmz	陳明章
wiki-mixed	113071	cmingz	陳明章
wiki-full	929482	chenhandian	陳漢典
wiki-initial	929482	chd	陳漢典
wiki-mixed	929482	chand	陳漢典
wiki-full	1241459	chenbaitan	陳百潭
wiki-initial	1241459	cbt	陳百潭
wiki-mixed	1241459	cbait	陳百潭
wiki-full	175795	chenda	陳達
wiki-initial	175795	cd	陳達
wiki-mixed	175795	cda	陳達
wiki-full	1086206	chenlei	陳雷
wiki-initial	1086206	cl	陳雷
wiki-mixed	1086206	clei	陳雷
wiki-full	6627844	jiangmingxue	江明學
wiki-initial	6627844	jmx	江明學
wiki-mixed	6627844	jmingx	江明學
wiki-full	8993911	jianzhien	簡志恩
wiki-initial	8993911	jze	簡志恩
wiki-mixed	8993911	jzhie	簡志恩
wiki-full	8024807	qiuge	邱個
wiki-initial	8024807	qg	邱個
wiki-mixed	8024807	qge	邱個
