wiki-full	1070724	bendaoren	本島人
wiki-initial	1070724	bdr	本島人
wiki-mixed	1070724	bdaor	本島人
wiki-full	1425003	chenyingbin	陳應彬
wiki-initial	1425003	cyb	陳應彬
wiki-mixed	1425003	cyingb	陳應彬
wiki-full	7064260	guoyuan	郭遠
wiki-initial	7064260	gy	郭遠
wiki-mixed	7064260	gyuan	郭遠
wiki-full	5592416	hongyang	洪鴦
wiki-initial	5592416	hy	洪鴦
wiki-mixed	5592416	hyang	洪鴦
wiki-full	68364	liaotianding	廖添丁
wiki-initial	68364	ltd	廖添丁
wiki-mixed	68364	ltiand	廖添丁
wiki-full	8294564	wangchanggeng	王長庚
wiki-initial	8294564	wcg	王長庚
wiki-mixed	8294564	wchangg	王長庚
wiki-full	6971542	zhengziqing	鄭子清
wiki-initial	6971542	zzq	鄭子清
wiki-mixed	6971542	zziq	鄭子清
wiki-full	373262	zuotengxiaocilang	佐藤小次郎
wiki-initial	373262	ztxcl	佐藤小次郎
wiki-mixed	373262	ztengxcil	佐藤小次郎
wiki-full	8714813	fuzujian	傅祖鑑
wiki-initial	8714813	fzj	傅祖鑑
wiki-mixed	8714813	fzuj	傅祖鑑
wiki-full	311322	guogeshaonian	國歌少年
wiki-initial	311322	ggsn	國歌少年
wiki-mixed	311322	ggesnian	國歌少年
wiki-full	8133387	zhangnaimiao	張迺妙
wiki-initial	8133387	znm	張迺妙
wiki-mixed	8133387	znaim	張迺妙
wiki-full	1015760	duxiangguo	杜香國
wiki-initial	1015760	dxg	杜香國
wiki-mixed	1015760	dxiangg	杜香國
wiki-full	8295360	caifuan	蔡福安
wiki-initial	8295360	cfa	蔡福安
wiki-mixed	8295360	cfua	蔡福安
wiki-full	8947276	lanmaosong	藍茂松
wiki-initial	8947276	lms	藍茂松
wiki-mixed	8947276	lmaos	藍茂松
wiki-full	6271970	xumou	許謀
wiki-initial	6271970	xm	許謀
wiki-mixed	6271970	xmou	許謀
wiki-full	8926848	guota	郭塔
wiki-initial	8926848	gt	郭塔
wiki-mixed	8926848	gta	郭塔
wiki-full	8921813	chenciwu	陳次武
wiki-initial	8921813	ccw	陳次武
wiki-mixed	8921813	cciw	陳次武
wiki-full	8921751	chentian	陳田
wiki-initial	8921751	ct	陳田
wiki-mixed	8921751	ctian	陳田
wiki-full	7408764	taiwansidatianwang	台灣四大天王
wiki-initial	7408764	twsdtw	台灣四大天王
wiki-mixed	7408764	twansdatwang	台灣四大天王
wiki-full	737687	changjingxiang	昌璟翔
wiki-initial	737687	cjx	昌璟翔
wiki-mixed	737687	cjingx	昌璟翔
wiki-full	1010630	tianenpei	田恩沛
wiki-initial	1010630	tep	田恩沛
wiki-mixed	1010630	tenp	田恩沛
wiki-full	1059871	chenxinhong	陳信宏
wiki-initial	1059871	cxh	陳信宏
wiki-mixed	1059871	cxinh	陳信宏
wiki-full	558047	huanghongsheng	黃鴻升
wiki-initial	558047	hhs	黃鴻升
wiki-mixed	558047	hhongs	黃鴻升
wiki-full	1407341	anjuncan	安鈞璨
wiki-initial	1407341	ajc	安鈞璨
wiki-mixed	1407341	ajunc	安鈞璨
wiki-full	4742909	tonglian	童立安
wiki-initial	4742909	tla	童立安
wiki-mixed	4742909	tlia	童立安
wiki-full	6869505	anwei	安偉
wiki-initial	6869505	aw	安偉
wiki-mixed	6869505	awei	安偉
wiki-full	432895	keyoulun	柯有倫
wiki-initial	432895	kyl	柯有倫
wiki-mixed	432895	kyoul	柯有倫
wiki-full	891608	baoxiaosong	包小松
wiki-initial	891608	bxs	包小松
wiki-mixed	891608	bxiaos	包小松
wiki-full	891607	baoxiaobo	包小柏
wiki-initial	891607	bxb	包小柏
wiki-mixed	891607	bxiaob	包小柏
wiki-full	158348	buxueliang	卜學亮
wiki-initial	158348	bxl	卜學亮
wiki-mixed	158348	bxuel	卜學亮
wiki-full	711704	baijisheng	白吉勝
wiki-initial	711704	bjs	白吉勝
wiki-mixed	711704	bjis	白吉勝
wiki-full	1568945	luoping	羅平
wiki-initial	1568945	lp	羅平
wiki-mixed	1568945	lping	羅平
wiki-full	891609	baoweiming	包偉銘
wiki-initial	891609	bwm	包偉銘
wiki-mixed	891609	bweim	包偉銘
wiki-full	5411811	bianqinghua	卞慶華
wiki-initial	5411811	bqh	卞慶華
wiki-mixed	5411811	bqingh	卞慶華
wiki-full	1507778	bishujin	畢書盡
