round	method	evaluations	nanoseconds
0	two-pass	163840	153325400
0	shared	163840	132892700
1	shared	163840	128870200
1	two-pass	163840	157636100
2	two-pass	163840	158241100
2	shared	163840	131988400
3	shared	163840	130809400
3	two-pass	163840	152834600
4	two-pass	163840	157061700
4	shared	163840	127446500
5	shared	163840	130233100
5	two-pass	163840	158591400
6	two-pass	163840	150653800
6	shared	163840	136933900
7	shared	163840	132883100
7	two-pass	163840	168020100
8	two-pass	163840	149325800
8	shared	163840	134211600
9	shared	163840	135978700
9	two-pass	163840	155540900
