wiki-full	3566703	fuzhenhui	傅振輝
wiki-initial	3566703	fzh	傅振輝
wiki-mixed	3566703	fzhenh	傅振輝
wiki-full	127690	zhangfei	張菲
wiki-initial	127690	zf	張菲
wiki-mixed	127690	zfei	張菲
wiki-full	462773	fengfeiyang	鳳飛颺
wiki-initial	462773	ffy	鳳飛颺
wiki-mixed	462773	ffeiy	鳳飛颺
wiki-full	5214637	lvsiwei	呂思緯
wiki-initial	5214637	lsw	呂思緯
wiki-mixed	5214637	lsiw	呂思緯
wiki-full	5544515	xuguanghan	許光漢
wiki-initial	5544515	xgh	許光漢
wiki-mixed	5544515	xguangh	許光漢
wiki-full	5477043	guojinfa	郭金發
wiki-initial	5477043	gjf	郭金發
wiki-mixed	5477043	gjinf	郭金發
wiki-full	6559369	gaoerxuan	高爾宣
wiki-initial	6559369	gex	高爾宣
wiki-mixed	6559369	gerx	高爾宣
wiki-full	320499	gaolingfeng	高凌風
wiki-initial	320499	glf	高凌風
wiki-mixed	320499	glingf	高凌風
wiki-full	154775	guopinchao	郭品超
wiki-initial	154775	gpc	郭品超
wiki-mixed	154775	gpinc	郭品超
wiki-full	1558666	goufeng	勾峰
wiki-initial	1558666	gf	勾峰
wiki-mixed	1558666	gfeng	勾峰
wiki-full	2883028	gezhaoen	葛兆恩
wiki-initial	2883028	gze	葛兆恩
wiki-mixed	2883028	gzhaoe	葛兆恩
wiki-full	1376964	gaoshanfeng	高山峰
wiki-initial	1376964	gsf	高山峰
wiki-mixed	1376964	gshanf	高山峰
wiki-full	5961386	xiaoyu	小玉
wiki-initial	5961386	xy	小玉
wiki-mixed	5961386	xyu	小玉
wiki-full	4492747	xumingjie	許明杰
wiki-initial	4492747	xmj	許明杰
wiki-mixed	4492747	xmingj	許明杰
wiki-full	4479813	huangweijin	黃偉晉
wiki-initial	4479813	hwj	黃偉晉
wiki-mixed	4479813	hweij	黃偉晉
wiki-full	383538	huangguolun	黃國倫
wiki-initial	383538	hgl	黃國倫
wiki-mixed	383538	hguol	黃國倫
wiki-full	5179133	huangshaogu	黃少谷
wiki-initial	5179133	hsg	黃少谷
wiki-mixed	5179133	hshaog	黃少谷
wiki-full	896967	hanyibang	韓宜邦
wiki-initial	896967	hyb	韓宜邦
wiki-mixed	896967	hyib	韓宜邦
wiki-full	1832628	hedulin	何篤霖
wiki-initial	1832628	hdl	何篤霖
wiki-mixed	1832628	hdul	何篤霖
wiki-full	676342	heyihang	賀一航
wiki-initial	676342	hyh	賀一航
wiki-mixed	676342	hyih	賀一航
wiki-full	1405105	hongjingyao	洪敬堯
wiki-initial	1405105	hjy	洪敬堯
wiki-mixed	1405105	hjingy	洪敬堯
wiki-full	555023	hongronghong	洪榮宏
wiki-initial	555023	hrh	洪榮宏
wiki-mixed	555023	hrongh	洪榮宏
wiki-full	835451	hongyifeng	洪一峰
wiki-initial	835451	hyf	洪一峰
wiki-mixed	835451	hyif	洪一峰
wiki-full	180857	houdejian	侯德健
wiki-initial	180857	hdj	侯德健
wiki-mixed	180857	hdej	侯德健
wiki-full	558245	xiaojingteng	蕭敬騰
wiki-initial	558245	xjt	蕭敬騰
wiki-mixed	558245	xjingt	蕭敬騰
wiki-full	666249	xiezhenting	謝震廷
wiki-initial	666249	xzt	謝震廷
wiki-mixed	666249	xzhent	謝震廷
wiki-full	5508797	xixiaogua	嘻小瓜
wiki-initial	5508797	xxg	嘻小瓜
wiki-mixed	5508797	xxiaog	嘻小瓜
wiki-full	5899555	xushuhao	許書豪
wiki-initial	5899555	xsh	許書豪
wiki-mixed	5899555	xshuh	許書豪
wiki-full	7688433	huangsanyuan	黃三元
wiki-initial	7688433	hsy	黃三元
wiki-mixed	7688433	hsany	黃三元
