input	hiragana	katakana	consumed
-	ー	ー	0
-qqo	ーっくぉ	ーックォ	0
a	あ	ア	0
aa	ああ	アア	0
aaaa	ああああ	アアアア	0
aaban	ああばん	アアバン	0
aacherii	ああちぇりい	アアチェリイ	0
aachi	ああち	アアチ	0
aachisuto	ああちすと	アアチスト	0
aaiu	ああいう	アアイウ	0
aakeedo	ああけえど	アアケエド	0
aakitekucha	ああきてくちゃ	アアキテクチャ	0
aaku	ああく	アアク	0
aamondo	ああもんど	アアモンド	0
aamu	ああむ	アアム	0
aasu	ああす	アアス	0
aateisuto	ああていすと	アアテイスト	0
aato	ああと	アアト	0
abareru	あばれる	アバレル	0
abauto	あばうと	アバウト	0
abekku	あべっく	アベック	0
abekobe	あべこべ	アベコベ	0
abenyuu	あべにゅう	アベニュウ	0
abiru	あびる	アビル	0
abiseru	あびせる	アビセル	0
abunai	あぶない	アブナイ	0
abura	あぶら	アブラ	0
aburae	あぶらえ	アブラエ	0
aburami	あぶらみ	アブラミ	0
ac	あ	ア	1
ach	あ	ア	1
achi	あち	アチ	0
achikochi	あちこち	アチコチ	0
achir	あち	アチ	4
achira	あちら	アチラ	0
achirak	あちら	アチラ	6
achirako	あちらこ	アチラコ	0
achirakoc	あちらこ	アチラコ	8
achirakoch	あちらこ	アチラコ	8
achirakochi	あちらこち	アチラコチ	0
achirakochir	あちらこち	アチラコチ	11
achirakochira	あちらこちら	アチラコチラ	0
achirakochiraenshuu	あちらこちらえんしゅう	アチラコチラエンシュウ	0
ad	あ	ア	1
ada	あだ	アダ	0
adana	あだな	アダナ	0
adap	あだ	アダ	3
adapu	あだぷ	アダプ	0
adaput	あだぷ	アダプ	5
adaputa	あだぷた	アダプタ	0
adaputaa	あだぷたあ	アダプタア	0
adaputaakoueki	あだぷたあこうえき	アダプタアコウエキ	0
adaruto	あだると	アダルト	0
ado	あど	アド	0
adobaisu	あどばいす	アドバイス	0
adobaizaa	あどばいざあ	アドバイザア	0
adobanteeji	あどばんてえじ	アドバンテエジ	0
adobenchaa	あどべんちゃあ	アドベンチャア	0
adorenarin	あどれなりん	アドレナリン	0
adoresu	あどれす	アドレス	0
adoribu	あどりぶ	アドリブ	0
ae	あえ	アエ	0
aen	あえん	アエン	0
aet	あえ	アエ	2
aete	あえて	アエテ	0
aetetennouheika	あえててんのうへいか	アエテテンノウヘイカ	0
afureru	あふれる	アフレル	0
afurika	あふりか	アフリカ	0
afutaa	あふたあ	アフタア	0
afutanuun	あふたぬうん	アフタヌウン	0
afyirieito	あふぃりえいと	アフィリエイト	0
ag	あ	ア	1
agari	あがり	アガリ	0
agaru	あがる	アガル	0
agattari	あがったり	アガッタリ	0
age	あげ	アゲ	0
ageku	あげく	アゲク	0
ageoroshine	あげおろしね	アゲオロシネ	0
ageru	あげる	アゲル	0
ago	あご	アゴ	0
agura	あぐら	アグラ	0
aguresshibu	あぐれっしぶ	アグレッシブ	0
ahiru	あひる	アヒル	0
aho	あほ	アホ	0
ai	あい	アイ	0
aibaabaa	あいばあばあ	アイバアバア	0
aiborii	あいぼりい	アイボリイ	0
aibou	あいぼう	アイボウ	0
aichaku	あいちゃく	アイチャク	0
aida	あいだ	アイダ	0
aidagara	あいだがら	アイダガラ	0
aidajuu	あいだじゅう	アイダジュウ	0
aidea	あいであ	アイデア	0
aideia	あいでいあ	アイデイア	0
aidenteitei	あいでんていてい	アイデンテイテイ	0
aidenteiteii	あいでんていていい	アイデンテイテイイ	0
aidoku	あいどく	アイドク	0
aidoru	あいどる	アイドル	0
aigo	あいご	アイゴ	0
aijin	あいじん	アイジン	0
aijou	あいじょう	アイジョウ	0
aikawarazu	あいかわらず	アイカワラズ	0
aiken	あいけん	アイケン	0
aikoku	あいこく	アイコク	0
aikon	あいこん	アイコン	0
aikotoba	あいことば	アイコトバ	0
aikou	あいこう	アイコウ	0
aikyou	あいきょう	アイキョウ	0
aima	あいま	アイマ	0
aimai	あいまい	アイマイ	0
aimatte	あいまって	アイマッテ	0
ainiku	あいにく	アイニク	0
ainori	あいのり	アイノリ	0
ainu	あいぬ	アイヌ	0
airisu	あいりす	アイリス	0
airon	あいろん	アイロン	0
ais	あい	アイ	2
aisatsu	あいさつ	アイサツ	0
aisenshi	あいせんし	アイセンシ	0
aish	あい	アイ	2
aisha	あいしゃ	アイシャ	0
aishad	あいしゃ	アイシャ	5
aishado	あいしゃど	アイシャド	0
aishadou	あいしゃどう	アイシャドウ	0
aishadougoten	あいしゃどうごてん	アイシャドウゴテン	0
aishou	あいしょう	アイショウ	0
aishuu	あいしゅう	アイシュウ	0
aiso	あいそ	アイソ	0
aisou	あいそう	アイソウ	0
aisu	あいす	アイス	0
aisuhokkee	あいすほっけえ	アイスホッケエ	0
aisukoohii	あいすこおひい	アイスコオヒイ	0
aisukuriimu	あいすくりいむ	アイスクリイム	0
aisuru	あいする	アイスル	0
aitai	あいたい	アイタイ	0
aite	あいて	アイテ	0
aitedoru	あいてどる	アイテドル	0
aitekata	あいてかた	アイテカタ	0
aitemu	あいてむ	アイテム	0
aitou	あいとう	アイトウ	0
aitsu	あいつ	アイツ	0
aitsugu	あいつぐ	アイツグ	0
aitsura	あいつら	アイツラ	0
aiyou	あいよう	アイヨウ	0
aiz	あい	アイ	2
aizo	あいぞ	アイゾ	0
aizou	あいぞう	アイゾウ	0
aizoupurizumu	あいぞうぷりずむ	アイゾウプリズム	0
aizu	あいず	アイズ	0
aizuchi	あいずち	アイズチ	0
aji	あじ	アジ	0
ajia	あじあ	アジア	0
ajiajin	あじあじん	アジアジン	0
ajikenai	あじけない	アジケナイ	0
ajinomoto	あじのもと	アジノモト	0
ajisai	あじさい	アジサイ	0
ajito	あじと	アジト	0
ajitsuke	あじつけ	アジツケ	0
ajiwai	あじわい	アジワイ	0
ajiwau	あじわう	アジワウ	0
ak	あ	ア	1
aka	あか	アカ	0
akachan	あかちゃん	アカチャン	0
akademii	あかでみい	アカデミイ	0
akademiishou	あかでみいしょう	アカデミイショウ	0
akademikku	あかでみっく	アカデミック	0
akahata	あかはた	アカハタ	0
akai	あかい	アカイ	0
akairo	あかいろ	アカイロ	0
akaji	あかじ	アカジ	0
akamatsu	あかまつ	アカマツ	0
akanbou	あかんぼう	アカンボウ	0
akari	あかり	アカリ	0
akarui	あかるい	アカルイ	0
akashi	あかし	アカシ	0
akashingou	あかしんごう	アカシンゴウ	0
akasu	あかす	アカス	0
akatsuki	あかつき	アカツキ	0
ake	あけ	アケ	0
akebono	あけぼの	アケボノ	0
akegata	あけがた	アケガタ	0
akekure	あけくれ	アケクレ	0
akemashiteomedetougozaimasu	あけましておめでとうございます	アケマシテオメデトウゴザイマス	0
akeru	あける	アケル	0
aki	あき	アキ	0
akibare	あきばれ	アキバレ	0
akichi	あきち	アキチ	0
akiguchi	あきぐち	アキグチ	0
akikan	あきかん	アキカン	0
akikaze	あきかぜ	アキカゼ	0
akinai	あきない	アキナイ	0
akiraka	あきらか	アキラカ	0
akirameru	あきらめる	アキラメル	0
akireru	あきれる	アキレル	0
akiresuken	あきれすけん	アキレスケン	0
akiru	あきる	アキル	0
