query	before_count	after_count	gained	lost
c	32	32		
ch	32	32		
che	39	39		
chen	43	43		
cheng	43	43		
chh	31	31		
chhe	37	37		
chhen	42	42		
chheng	44	44		
chi	37	37		
chin	43	43	chīⁿ	chín-tī
chinn	44	44		
chn	43	43		
chng	42	42		
h	39	39		
ho	36	36		
hon	43	43		
hong	44	44		
hu	38	38		
i	36	36		
in	42	42		
k	32	33	kê|kē|kī	kam|kan
ke	40	40		
ki	34	34		
ko	36	37	kôe|kōe	ko-un
koe	45	45		
ku	35	34	kūn	khò-û|ki-ūn
kun	44	44		
l	40	40		
la	36	36		
lam	43	43		
lau	45	45		
le	40	39		Le̍k-tó
len	44	44		
leng	44	44		
li	41	41	liū	lî-í
liu	45	45		
p	40	40	pī	pah
pi	42	42		
po	40	39		poat
poo	43	43		
t	36	36		
te	38	38		
