pack	query	normal_focused	private_focused	accepted_output	choice_writes_after_3	phrase_observations_after_3	idle_candidates
poj	oanbukhek	1	1	oân-bú-khek	3	0	0
poj	hahiong	2	2	hā-hiong	3	0	0
poj	tisiaukuiakhak	1	1	tì siáu-kúi-á-khak	3	0	0
poj	chhunpansi	1	1	chhûn-pān-sí	3	0	0
poj	teoehoe	1	1	tê-ōe-hōe	3	0	0
poj	tiamiu	1	1	tiám-iû	3	0	0
poj	hoebe	2	2	hoe-bé	3	0	0
poj	asiulo	1	1	A-siu-lô	3	0	0
poj	lui	43	43	lúi	3	0	0
poj	ankola	1	1	An-ko-lá	3	0	0
poj	khaipit	1	1	khai-pi̍t	3	0	0
poj	betoechinn	1	1	bé-tôe-chìⁿ	3	0	0
poj	khoaichhu	2	2	khoài-chhú	3	0	0
poj	tunkhatunchhiu	1	1	tùn-kha-tùn-chhiú	3	0	0
poj	thanchiah	6	6	thàn-chia̍h	3	0	0
poj	kenoa	5	5	ke-nòa	3	0	0
japanese	ousen	2	2	おうせん	3	0	0
japanese	arata	8	8	あらた	3	0	0
japanese	ukiuki	1	1	うきうき	3	0	0
japanese	nitsuite	1	1	について	3	0	0
japanese	sosei	2	2	そせい	3	0	0
japanese	shochuu	5	5	しょちゅう	3	0	0
japanese	rikugun	2	2	りくぐん	3	0	0
japanese	shiyouzumi	2	2	しようずみ	3	0	0
japanese	kouan	5	5	こうあん	3	0	0
japanese	mukeru	10	10	むける	3	0	0
japanese	irashite	1	1	いらして	3	0	0
japanese	oute	4	4	おうて	3	0	0
japanese	akai	4	4	あかい	3	0	0
japanese	ikan	7	7	いかん	3	0	0
japanese	seihen	2	2	せいへん	3	0	0
japanese	sheipuappu	1	1	シェイプアップ	3	0	0
