pack	query	normal_focused	private_focused	accepted_output	choice_writes_after_3	phrase_observations_after_3	idle_candidates
poj	oanbukhek	1	0	oân-bú-khek	0	0	0
poj	hahiong	2	0	hā-hiong	0	0	0
poj	tisiaukuiakhak	1	0	tì siáu-kúi-á-khak	0	0	0
poj	chhunpansi	1	0	chhûn-pān-sí	0	0	0
poj	teoehoe	1	0	tê-ōe-hōe	0	0	0
poj	tiamiu	1	0	tiám-iû	0	0	0
poj	hoebe	2	0	hoe-bé	0	0	0
poj	asiulo	1	0	A-siu-lô	0	0	0
poj	lui	43	0	lúi	0	0	0
poj	ankola	1	0	An-ko-lá	0	0	0
poj	khaipit	1	0	khai-pi̍t	0	0	0
poj	betoechinn	1	0	bé-tôe-chìⁿ	0	0	0
poj	khoaichhu	2	0	khoài-chhú	0	0	0
poj	tunkhatunchhiu	1	0	tùn-kha-tùn-chhiú	0	0	0
poj	thanchiah	6	0	thàn-chia̍h	0	0	0
poj	kenoa	5	0	ke-nòa	0	0	0
japanese	ousen	2	0	おうせん	0	0	0
japanese	arata	8	0	あらた	0	0	0
japanese	ukiuki	1	0	うきうき	0	0	0
japanese	nitsuite	1	0	について	0	0	0
japanese	sosei	2	0	そせい	0	0	0
japanese	shochuu	5	0	しょちゅう	0	0	0
japanese	rikugun	2	0	りくぐん	0	0	0
japanese	shiyouzumi	2	0	しようずみ	0	0	0
japanese	kouan	5	0	こうあん	0	0	0
japanese	mukeru	10	0	むける	0	0	0
japanese	irashite	1	0	いらして	0	0	0
japanese	oute	4	0	おうて	0	0	0
japanese	akai	4	0	あかい	0	0	0
japanese	ikan	7	0	いかん	0	0	0
japanese	seihen	2	0	せいへん	0	0	0
japanese	sheipuappu	1	0	シェイプアップ	0	0	0
