# Fixed targets used only by the offline evaluator
py-xiexie		xiexie	謝謝
py-xx		xx	謝謝
py-xiex		xiex	謝謝
py-bukeqi		bukeqi	不客氣
py-bkq		bkq	不客氣
py-bukq		bukq	不客氣
py-zaoshanghao		zaoshanghao	早上好
py-zsh		zsh	早上好
py-zaoshh		zaoshh	早上好
py-womenmingtianjian		womenmingtianjian	我們明天見
py-wmmtj		wmmtj	我們明天見
py-womenmtjian		womenmtjian	我們明天見
py-woyaohekafei		woyaohekafei	我要喝咖啡
py-wyhkf		wyhkf	我要喝咖啡
py-woyhekafei		woyhekafei	我要喝咖啡
py-jintianxiawu		jintianxiawu	今天下午
py-jtxw		jtxw	今天下午
py-jintxiawu		jintxiawu	今天下午
py-qingbangwokanyixia		qingbangwokanyixia	請幫我看一下
py-qbwkyx		qbwkyx	請幫我看一下
py-qingbwkanyixia		qingbwkanyixia	請幫我看一下
py-xianzaijidian		xianzaijidian	現在幾點
py-xzjd		xzjd	現在幾點
py-xianzaijd		xianzaijd	現在幾點
