case	context	input	expected	rank	microseconds	top5
py-xiexie		xiexie	謝謝	1	6344	謝謝 | 寫寫 | 些些 | 歇歇 | 謝謝你
py-xx		xx	謝謝	6	3150	學校 | 學習 | 訊息 | 相信 | 消息
py-xiex		xiex	謝謝	1	2648	謝謝 | 寫信 | 寫下 | 些小 | 些許
py-bukeqi		bukeqi	不客氣	1	3518	不客氣 | 不可欺 | 不可其 | 不可起 | 不可期
py-bkq		bkq	不客氣	1	5532	不客氣 | 百塊錢 | 八塊錢 | 不肯去 | 不可欺
py-bukq		bukq	不客氣	1	7057	不客氣 | 不肯去 | 不可欺 | 不看起 | 不空氣
py-zaoshanghao		zaoshanghao	早上好	1	19105	早上好 | 早上號 | 早上豪 | 早上毫 | 早上耗
py-zsh		zsh	早上好	0	10643	只是 | 這是 | 知識 | 正式 | 則是
py-zaoshh		zaoshh	早上好	0	6220	造時候 | 造社會 | 早時候 | 早社會 | 造生活
py-womenmingtianjian		womenmingtianjian	我們明天見	3	14589	我們明天間 | 我們明天建 | 我們明天見 | 我們明天件 | 我們明天檢
py-wmmtj		wmmtj	我們明天見	0	2333	我媽媽條件 | 我媽媽統計 | 我媽媽推薦 | 我媽媽途徑 | 我們茅台酒
py-womenmtjian		womenmtjian	我們明天見	24	5649	我們媒體間 | 我們媒體建 | 我們媒體見 | 我們媒體件 | 我們媒體檢
py-woyaohekafei		woyaohekafei	我要喝咖啡	5	3002	我要合咖啡 | 我要何咖啡 | 我吆喝咖啡 | 我要和咖啡 | 我要喝咖啡
py-wyhkf		wyhkf	我要喝咖啡	0	2135	委員會開放 | 委員會開發 | 委員會咖啡 | 委員會看法 | 委員會可分
py-woyhekafei		woyhekafei	我要喝咖啡	0	2753	我有合咖啡 | 我也何咖啡 | 我也合咖啡 | 我也和咖啡 | 我要和咖啡
py-jintianxiawu		jintianxiawu	今天下午	1	6701	今天下午 | 今天校務 | 今天小屋 | 今天下於 | 今天狎侮
py-jtxw		jtxw	今天下午	9	2251	街頭巷尾 | 今天希望 | 今天新聞 | 家庭希望 | 家庭新聞
py-jintxiawu		jintxiawu	今天下午	1	3918	今天下午 | 鏡頭下午 | 靜態下午 | 津貼下午 | 盡頭下午
py-qingbangwokanyixia		qingbangwokanyixia	請幫我看一下	15	8787	青棒我看以下 | 青棒我看影響 | 青棒我看一下 | 青棒我看印象 | 青棒我看影像
py-qbwkyx		qbwkyx	請幫我看一下	0	2657	千百萬可用性 | 千百萬看一下 | 千百萬抗藥性 | 千百萬考驗性 | 千百萬抗議性
py-qingbwkanyixia		qingbwkanyixia	請幫我看一下	0	5388	請百萬看一下 | 情百萬看一下 | 請博物看一下 | 情博物看一下 | 清百萬看一下
py-xianzaijidian		xianzaijidian	現在幾點	5	5231	現在景點 | 現在酒店 | 現在祭典 | 現在焦點 | 現在幾點
py-xzjd		xzjd	現在幾點	0	3399	現自己的 | 選擇覺得 | 現在覺得 | 心自己的 | 下自己的
py-xianzaijd		xianzaijd	現在幾點	0	8524	現在覺得 | 現在簡單 | 現在階段 | 現在絕對 | 現在降低
# top1=8/24 top5=11/24 p50_us=5388 p95_us=14589 load_ms=2605
