query	round	apply_ns	english_completion_ns	candidates
r	0	43620989	8854	133
r	1	20955208	7187	133
r	2	22178073	7448	133
re	0	33782969	10018438	383
re	1	33895365	9978542	383
re	2	33734010	10133438	383
rec	0	2915052	1096250	64
rec	1	2567292	1070833	64
rec	2	2498542	1099895	64
reco	0	3657500	644531	42
reco	1	2843229	514428	42
reco	2	2756615	560260	42
recor	0	1080469	94948	25
recor	1	1347968	107344	25
recor	2	1322031	99947	25
record	0	1686979	166615	24
record	1	1704687	158698	24
record	2	1196302	125209	24
recordk	0	2528385	130469	17
recordk	1	4159218	572709	17
recordk	2	1813437	76303	17
recordke	0	1639948	78594	17
recordke	1	1348802	81198	17
recordke	2	1204739	63177	17
recordkee	0	2274531	112448	17
recordkee	1	1393385	86770	17
recordkee	2	1407396	66927	17
recordkeep	0	6202187	138698	17
recordkeep	1	4667396	136355	17
recordkeep	2	4558750	294167	17
recordkeepi	0	4336562	132656	17
recordkeepi	1	4683385	116875	17
recordkeepi	2	5390260	73906	17
recordkeepin	0	5449427	261354	17
recordkeepin	1	3991667	147448	17
recordkeepin	2	5193281	322188	17
recordkeeping	0	4275573	129583	17
recordkeeping	1	4405677	147552	17
recordkeeping	2	4507969	145989	17
d	0	21638959	3334	133
d	1	21158541	2656	133
d	2	19232448	2552	133
dh	0	78660469	126823	1243
dh	1	83074843	186615	1243
dh	2	138324010	159427	1243
dhy	0	177106875	412500	1127
dhy	1	166812500	392448	1127
dhy	2	169506927	626667	1127
da	0	152043333	3068334	1131
da	1	153501249	3112031	1131
da	2	152959688	3043906	1131
dar	0	11405833	659063	118
dar	1	13683907	722500	118
dar	2	12274115	140104	118
daru	0	10625469	140937	70
daru	1	10536771	297187	70
daru	2	10095782	120730	70
h	0	19377135	3542	133
h	1	17405573	2604	133
h	2	19264323	2760	133
ha	0	145834635	8415468	1287
ha	1	144423750	9357240	1287
ha	2	132356511	10247812	1287
han	0	20397500	1864115	160
han	1	19917240	1836354	160
han	2	22680417	1982448	160
l	0	20308490	3177	134
l	1	20968333	6093	134
l	2	19747135	3958	134
la	0	154856771	6579895	1656
la	1	162437552	7102135	1656
la	2	169636979	6860260	1656
lan	0	23374375	1426875	188
lan	1	20786146	1277760	188
lan	2	22647708	1320468	188
lanu	0	6666718	83594	53
lanu	1	6902708	138385	53
lanu	2	6613906	227969	53
le	0	92208281	4612604	1647
le	1	186164427	2037187	1647
le	2	156630157	5300052	1647
lei	0	95057083	77240	1655
lei	1	128166511	79063	1655
lei	2	112119010	154740	1655
leil	0	12112032	128542	115
leil	1	12811823	124063	115
leil	2	10154323	120677	115
leila	0	11345729	118073	105
leila	1	13219218	117552	105
leila	2	13411771	375365	105
leilan	0	10862656	246146	105
leilan	1	11447552	117187	105
leilan	2	11403281	124687	105
leilang	0	11417031	76146	105
leilang	1	12131667	125313	105
leilang	2	12582448	118802	105
hao	0	11898750	218073	115
hao	1	13285261	84479	115
hao	2	12792761	119218	115
haoh	0	12183020	61198	119
haoh	1	14385104	130156	119
haoh	2	12589063	123333	119
haohz	0	11130729	262760	95
haohz	1	10718906	118854	95
haohz	2	10063020	125208	95
haohzh	0	10425000	116302	94
haohzh	1	10265312	129062	94
haohzh	2	11696458	117864	94
haohzhi	0	10248437	115781	94
haohzhi	1	10973282	125156	94
haohzhi	2	5697917	97604	94
haohzhix	0	15991511	133542	95
haohzhix	1	12196459	96146	95
haohzhix	2	11011875	1109584	95
q	0	17732812	2812	134
q	1	17167448	2344	134
q	2	18977500	3386	134
qi	0	42842760	342813	340
qi	1	41201041	142239	340
qi	2	46104687	143125	340
qia	0	36708177	121093	396
qia	1	36233073	145000	396
qia	2	33443802	129427	396
qian	0	19728958	152917	245
qian	1	23380209	240833	245
qian	2	21206719	114896	245
qiang	0	23712084	154531	290
qiang	1	18070157	62500	290
qiang	2	25136615	111562	290
qiangh	0	7660365	311719	76
qiangh	1	8908177	146615	76
qiangh	2	7862136	189636	76
qianghu	0	7138854	126615	74
qianghu	1	7086041	127968	74
qianghu	2	3991511	66459	74
qianghua	0	7293698	144062	70
qianghua	1	6714948	148281	70
qianghua	2	8579114	137812	70
