query	round	apply_ns	english_completion_ns	candidates
r	0	6111979	1927	133
r	1	5400209	4010	133
r	2	5287813	2292	133
re	0	44775677	12811250	383
re	1	44949062	12627188	383
re	2	43351980	13089323	383
rec	0	3939219	1409687	64
rec	1	3715313	1466562	64
rec	2	3475781	1391979	64
reco	0	4674115	574479	42
reco	1	3999271	743385	42
reco	2	3266719	726250	42
recor	0	2099010	283437	25
recor	1	2195052	292500	25
recor	2	2003698	95990	25
record	0	2495365	145209	24
record	1	1812188	118489	24
record	2	1811875	125052	24
recordk	0	7825469	294844	17
recordk	1	2760625	60261	17
recordk	2	2548229	85468	17
recordke	0	3060052	113854	17
recordke	1	2524479	80521	17
recordke	2	2811615	64323	17
recordkee	0	7728177	154636	17
recordkee	1	7695521	216354	17
recordkee	2	3978334	75938	17
recordkeep	0	2426927	92916	17
recordkeep	1	1790521	51250	17
recordkeep	2	1761198	61407	17
recordkeepi	0	2511927	74896	17
recordkeepi	1	1808594	51458	17
recordkeepi	2	2552447	71563	17
recordkeepin	0	7666927	165417	17
recordkeepin	1	7545937	167240	17
recordkeepin	2	7971355	151875	17
recordkeeping	0	7797447	161823	17
recordkeeping	1	8509687	176302	17
recordkeeping	2	12415104	162136	17
d	0	25438541	7135	133
d	1	26001042	8385	133
d	2	22411250	5677	133
dh	0	147278698	203594	1243
dh	1	200968385	197448	1243
dh	2	202167396	212344	1243
dhy	0	50222448	69583	1127
dhy	1	49157396	56042	1127
dhy	2	47201563	91562	1127
da	0	35814219	735886	1131
da	1	34774584	485157	1131
da	2	34416094	953229	1131
dar	0	10870990	225885	118
dar	1	9788334	238906	118
dar	2	11451614	327969	118
daru	0	14733437	262812	70
daru	1	16793229	146250	70
daru	2	12736666	111458	70
h	0	20993281	4115	133
h	1	17060937	3594	133
h	2	24674427	4375	133
ha	0	177968438	8777396	1287
ha	1	188594218	9021303	1287
ha	2	197428125	8818698	1287
han	0	29236354	2112708	160
han	1	27562864	2642187	160
han	2	26174740	2373178	160
l	0	26670208	4687	134
l	1	24921667	4843	134
l	2	23490365	5261	134
la	0	236316719	9033594	1656
la	1	226321562	7391719	1656
la	2	174732813	7065313	1656
lan	0	13893490	1995469	188
lan	1	15995886	1298698	188
lan	2	9137135	443385	188
lanu	0	4598907	534427	53
lanu	1	5070156	125104	53
lanu	2	4824115	130833	53
le	0	100012969	6366563	1647
le	1	99453593	5325885	1647
le	2	98429948	5598021	1647
lei	0	88463646	224532	1655
lei	1	86518177	91042	1655
lei	2	90090469	172865	1655
leil	0	8542917	262136	115
leil	1	9578281	95781	115
leil	2	9855573	297031	115
leila	0	8181979	143750	105
leila	1	9878646	115208	105
leila	2	8654115	239271	105
leilan	0	10817604	334584	105
leilan	1	10033438	92500	105
leilan	2	9442344	127292	105
leilang	0	8659219	131875	105
leilang	1	9971302	112292	105
leilang	2	9453645	180417	105
hao	0	8092031	139583	115
hao	1	7235625	170000	115
hao	2	7584584	130834	115
haoh	0	8620000	116562	119
haoh	1	8232240	113281	119
haoh	2	10641094	346094	119
haohz	0	7197031	144427	95
haohz	1	7448802	128594	95
haohz	2	8837188	95729	95
haohzh	0	7186041	62552	94
haohzh	1	8765156	300313	94
haohzh	2	7440625	120469	94
haohzhi	0	7777291	129219	94
haohzhi	1	7764479	124792	94
haohzhi	2	7282761	123177	94
haohzhix	0	7873803	113906	95
haohzhix	1	11519740	76615	95
haohzhix	2	8440990	124010	95
q	0	12180313	5053	134
q	1	16557448	6094	134
q	2	12905156	3958	134
qi	0	26444427	114635	340
qi	1	26344740	126770	340
qi	2	29651197	69010	340
qia	0	22666093	121302	396
qia	1	23144167	118907	396
qia	2	22024688	434427	396
qian	0	14449166	128698	245
qian	1	16807188	119688	245
qian	2	15153958	116198	245
qiang	0	17239635	119219	290
qiang	1	16165833	119688	290
qiang	2	17444739	153542	290
qiangh	0	5712709	170834	76
qiangh	1	6067760	286198	76
qiangh	2	5944895	164010	76
qianghu	0	5587604	120364	74
qianghu	1	6256146	146458	74
qianghu	2	5472760	120781	74
qianghua	0	5455729	120677	70
qianghua	1	5378593	280417	70
qianghua	2	5366354	117344	70
