query	round	apply_ns	english_completion_ns	candidates
r	0	2096823	1510	133
r	1	1865938	1510	133
r	2	1748489	1146	133
re	0	4977761	9259947	383
re	1	4591928	5800261	383
re	2	4842240	5735833	383
rec	0	1409166	717813	64
rec	1	1213698	793334	64
rec	2	1377135	769739	64
reco	0	1916875	443907	42
reco	1	990312	441771	42
reco	2	1039532	3670834	42
recor	0	706511	104844	25
recor	1	669375	100209	25
recor	2	714167	96511	25
record	0	838802	130834	24
record	1	920052	148802	24
record	2	1852917	286666	24
recordk	0	2068073	132239	17
recordk	1	2507813	76771	17
recordk	2	931250	69114	17
recordke	0	1302969	110052	17
recordke	1	2087709	140781	17
recordke	2	2067031	135364	17
recordkee	0	852916	60573	17
recordkee	1	834636	57812	17
recordkee	2	1109896	82135	17
recordkeep	0	920573	39271	17
recordkeep	1	563594	50834	17
recordkeep	2	1299948	77760	17
recordkeepi	0	680157	53958	17
recordkeepi	1	634688	47188	17
recordkeepi	2	642552	47864	17
recordkeepin	0	1137135	43802	17
recordkeepin	1	507813	53177	17
recordkeepin	2	527291	43958	17
recordkeeping	0	1423073	128281	17
recordkeeping	1	803281	87864	17
recordkeeping	2	806354	82865	17
d	0	2043021	1823	133
d	1	2558281	1406	133
d	2	2156510	1458	133
dh	0	9439323	45156	1243
dh	1	8539636	64270	1243
dh	2	8477031	53438	1243
dhy	0	12569218	27656	1127
dhy	1	10813750	30417	1127
dhy	2	10763282	32292	1127
da	0	8564739	217605	1131
da	1	8500885	214791	1131
da	2	8513229	244792	1131
dar	0	2843177	194687	118
dar	1	2954167	168802	118
dar	2	2804011	172656	118
daru	0	4413073	121146	70
daru	1	5037083	116042	70
daru	2	1809583	76562	70
h	0	7380313	2396	133
h	1	6953907	2291	133
h	2	6903020	2448	133
ha	0	8197448	659688	1287
ha	1	8067239	660000	1287
ha	2	8168802	771771	1287
han	0	2140416	259844	160
han	1	2224532	268750	160
han	2	1431302	175104	160
l	0	1449375	833	134
l	1	1419844	833	134
l	2	1492032	833	134
la	0	10476459	582083	1656
la	1	10615104	479948	1656
la	2	8360416	469739	1656
lan	0	3966094	210260	188
lan	1	2064531	189167	188
lan	2	2059531	225990	188
lanu	0	1615364	75052	53
lanu	1	2930261	125156	53
lanu	2	2807709	123438	53
le	0	12185261	451459	1647
le	1	9903906	476510	1647
le	2	9538542	442291	1647
lei	0	9561771	61666	1655
lei	1	9791510	52552	1655
lei	2	9109218	46614	1655
leil	0	1096979	44323	115
leil	1	1209948	77969	115
leil	2	1061146	39791	115
leila	0	1462917	64479	105
leila	1	1851198	70885	105
leila	2	1881823	65729	105
leilan	0	3949427	122604	105
leilan	1	1507604	78542	105
leilan	2	1530729	88593	105
leilang	0	4881980	77447	105
leilang	1	1688646	76354	105
leilang	2	1991928	82187	105
hao	0	4676719	148281	115
hao	1	4361354	114271	115
hao	2	3928385	109480	115
haoh	0	3251302	61823	119
haoh	1	1550782	70833	119
haoh	2	2179427	96407	119
haohz	0	4042031	130625	95
haohz	1	4173645	88907	95
haohz	2	1422083	71979	95
haohzh	0	3469792	73802	94
haohzh	1	1472343	64375	94
haohzh	2	1801562	119323	94
haohzhi	0	3694479	110521	94
haohzhi	1	1403333	74219	94
haohzhi	2	1467500	77865	94
haohzhix	0	3601511	111980	95
haohzhix	1	1368593	73229	95
haohzhix	2	1632708	85833	95
q	0	6381094	2656	134
q	1	3930053	1510	134
q	2	2326562	1823	134
qi	0	14196979	73594	340
qi	1	4969740	66094	340
qi	2	4641927	63333	340
qia	0	3869010	68490	396
qia	1	3481771	53490	396
qia	2	2271927	43178	396
qian	0	5385052	115156	245
qian	1	2452864	66875	245
qian	2	2944010	58958	245
qiang	0	6580677	58385	290
qiang	1	2736823	67552	290
qiang	2	2972448	67969	290
qiangh	0	3925729	143490	76
qiangh	1	1011407	53125	76
qiangh	2	954375	67136	76
qianghu	0	2655885	110937	74
qianghu	1	2647240	106666	74
qianghu	2	3503907	70625	74
qianghua	0	2618281	108334	70
qianghua	1	997761	63021	70
qianghua	2	972084	64791	70
