round	group	condition	query	core_us	addons_us	core_n	addons_n	core_signature	addons_signature
0	phone	prefix	r	500	1454	128	57	01fb1808310d34f0abaeaf0696eae5050f0e5509e6e93d9cb0914dddfaad6b32	9a644161d2cec409afbdcb7f7af92efd8154bffd2656ef57248955f948d7b917
0	phone	prefix	re	712	844	375	49	3a725f21713c3c3a53430c9365406f4f2d4e9193eec6a99856ce9f475629bdd8	0786d33bdc397c05bf2a682120b95b2b1811b6e4c14b9dabfc18a6d5d4d0cfd5
0	phone	prefix	rec	213	203	38	1	75a236adfc9dbbefe375623fa23f183e5ee37e48e3b23944f88fecbe7ae52f14	1bff91637359e411cac81f057d76ee4c1cac2d2643f7af7f3a7c03e3c53bf8db
0	phone	prefix	reco	115	151	17	0	5d0a379eb0427b8f2f2cc6f142a71bc41c3bf764c2791ab92077a861614988fb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recor	95	155	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	record	98	139	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordk	97	134	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordke	90	134	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordkee	165	234	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordkeep	129	151	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordkeepi	102	149	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordkeepin	103	136	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	recordkeeping	107	142	16	0	1cb76595cd8aed49db9c670eb6f96c4acc6f6e81ec6c3accb7329e9be343b4a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	d	1082	8903	128	56	b90a1e664f28603a28a1fb5ddf6c9e31eecceefdb0799d3c7e621550d4c86ba8	0f49c39f7d43107b17a83a5488b23ef176bf224101e293f1ea21061eb19cd73b
0	phone	prefix	dh	3405	147	1241	11	b3f37d262d01ba2c578025159c3e1749efb3d7135881667d22d7053e016e8b22	e33bba4a0b235e6404952cbd33d28b0bd27691ad230baa40e252cc05d9219a43
0	phone	prefix	dhy	605	510	1125	1	84a9c7e255eaa91431ea4122867faa41f4f5abe5c76426a16758d2fc2b59fc6d	47bff8e9055982bdd839f6604285fe06126e9e0261ddb06d573d61d43394a59d
0	phone	prefix	da	973	6132	1125	56	586b914980ca292d82af309ef9d0dcbd31e6d51e3d001d4ad1537d5c98e8a73a	386b922ecc0ac694336105e255f018b3afd2f098f671684cc654fa52d248eac9
0	phone	prefix	dar	327	593	93	37	6e7989754c225a306063d7f76cb0496d92e2a35ad8c2c0867c9c4b91b84543ab	f8fb86b37e86a3136ae928720b197aea71898c16f72392857c6f1f69647b67be
0	phone	prefix	daru	184	493	69	6	450e1294ba832f5ff7a15afbffa2126cb645b7affc11498acd9a84eafab920d2	3949eeebc78b1c7605e6db19c13a4fc07edd1bdcb99cac4816d31859a24e97c5
0	phone	prefix	h	1028	8494	128	94	54a0dd9ba1e9c982cc093bbe9d4f78184d2a765547411b08e81ccb633173c89a	9f2767295086853fab19a122f6b6c9843b49e1135688ede59b4b5b932bcc798d
0	phone	prefix	ha	804	4548	1281	96	757f4798574d595f60819252b88c621155a0d717ed8395f1f18aa995838b10f2	5a54c30e9e4298fc4e51869ff662859d8e1a790ae51bfffcb9360f8fab29cc36
0	phone	prefix	han	705	2173	154	95	a2619db43248397a766fe9dfb2ac091a61f87b05a7e2681b78da101a7072bd38	c0786037c9c437ca3fa8c6f5a64789ba2d68b1589dd6c605de70c9557c4b2158
0	phone	prefix	l	874	7080	128	48	61042a92aeeb69b314a38ae926e9a095559171d0e61c554e80b7ce2c44eff1ce	d527277de30c89b5d24e98b757340b580d6a1cdd6271e2e3c05d2bcdc81dbcae
0	phone	prefix	la	869	2874	1651	44	3e0b1877920fc0d2faf7944ee011c6f75fefa72cbac36c948a1fb3669a148104	641542e0ac18fff2e12b5ffa6c87f0cdc2d43547cc00569bb7f410f7e714279a
0	phone	prefix	lan	627	1726	180	49	f8267bd17dc5443353f3175471ae434da645ad0a21763bb936f83382a240d434	dad9bbf5ef237070db5519dafc3290b62517b9e3d49973c45b2cc6dc444ae1f1
0	phone	prefix	lanu	192	781	52	3	3f4c539503c5f4bbf1100d7133463c12cd0a6c1dc3b0a1fa9b3f2de6b6825d2e	ce904e630b193e5c9ae225b7af01c1e9c489fd4ee525ad7119e0711fa1b752d5
0	phone	prefix	le	685	1776	1645	47	e6de3b047ea489df0295f9b3004d0e6d6551b9f76a97677d01478b477d403c48	47ed61a3ad013f9c97d6747ff28f242caa78f6ca801d208b61aaeecc47063d84
0	phone	prefix	lei	572	782	1650	18	95394b62675ca2278c06e897e1d6da98a95fca5ca236c519e6f69f4f3acdf9e5	097f0adcdb116cf72e990a4149e7b5af19fa431620fa98412c7301a95836942e
0	phone	prefix	leil	373	711	111	4	b8e114e64406da9cb2e05f454e41e87bfa99758e3f106a7d353c32c60891728f	943482c98a83d581130c23b1c07e3509e2022da91c9ab46d51691a44ba76e334
0	phone	prefix	leila	171	599	101	3	e58901ed489118229fdbb08730dc29aa73b56865d2c5c2a8f25c3d8ea7ad2d6b	9b8a28a8b92f987f5d0d76a73a63c7adbba60fc4d9b6b0f77cb8d28390b143a9
0	phone	prefix	leilan	154	591	101	3	e58901ed489118229fdbb08730dc29aa73b56865d2c5c2a8f25c3d8ea7ad2d6b	4d4f32cbe05ff5659c64dec283551baae51f472b4d0df770bc35739591af42c6
0	phone	prefix	leilang	142	553	101	3	e58901ed489118229fdbb08730dc29aa73b56865d2c5c2a8f25c3d8ea7ad2d6b	59e33d54d8e0ea4d33efd0693bf1b19ec4437505c3c6ccd4aff2b2e2fb5bacb0
0	phone	prefix	hao	338	963	106	33	f8b95c49ae9a9a22304fbda1429362c12690fab738aac931a872b5b2f07fc9ee	7814792b647c3eb8049a8ef3121a90d962e9ca87bd395e328dd0cd09ccee5044
