store_size	round	candidates	old_ns	bound_ns	checksum
0	0	512	1949896	1465313	0
0	1	512	1584635	1391615	0
0	2	512	1677864	2066458	0
0	3	512	1701719	1370208	0
0	4	512	1610833	1424375	0
0	5	512	1648803	1418489	0
0	6	512	1729583	1373282	0
0	7	512	1668802	1295990	0
0	8	512	1719532	1446563	0
0	9	512	1619063	1403177	0
0	10	512	1713854	1598073	0
0	11	512	1628386	1423437	0
0	12	512	1642657	1375052	0
0	13	512	2261562	1308386	0
0	14	512	1621666	1409896	0
0	15	512	1569583	1321666	0
0	16	512	2295261	1438541	0
0	17	512	1595364	1347344	0
0	18	512	1619531	2166823	0
0	19	512	1649167	1346979	0
20	0	512	3584792	2763125	57
20	1	512	2973385	2897240	57
20	2	512	3050365	3090573	57
20	3	512	2878646	2908177	57
20	4	512	2926302	2804062	57
20	5	512	2914323	2673698	57
20	6	512	2983177	2822604	57
20	7	512	3014688	2676666	57
20	8	512	2921250	3004115	57
20	9	512	2977239	2652917	57
20	10	512	2901354	2756719	57
20	11	512	2933281	2839583	57
20	12	512	2868802	2632604	57
20	13	512	2701042	2540208	57
20	14	512	2708542	2342552	57
20	15	512	1057969	1205677	57
20	16	512	1109115	764063	57
20	17	512	973281	720417	57
20	18	512	984062	750782	57
20	19	512	969584	664740	57
2000	0	512	1428542	1060937	23876
2000	1	512	1417240	1091354	23876
2000	2	512	1529896	1108959	23876
2000	3	512	1412760	1049063	23876
2000	4	512	1482760	1074583	23876
2000	5	512	1476094	1161458	23876
2000	6	512	1436666	1059218	23876
2000	7	512	1466979	1057188	23876
2000	8	512	1430312	1311406	23876
2000	9	512	1421667	1104062	23876
2000	10	512	1433542	1114584	23876
2000	11	512	1575573	1048385	23876
2000	12	512	1490364	1062448	23876
2000	13	512	1492604	1046406	23876
2000	14	512	1422343	1071979	23876
2000	15	512	1444583	1175104	23876
2000	16	512	1429844	1126302	23876
2000	17	512	1417917	1047344	23876
2000	18	512	1629166	1091458	23876
2000	19	512	1471302	1055052	23876
