a	missing-letter,phrase-prefix,syllable,syllable-prefix
aa	adjacent-key
aai	adjacent-key
aan	adjacent-key
aang	adjacent-key
aao	adjacent-key
ab	adjacent-key,transposed-letters
abg	adjacent-key
abi	transposed-letters
abn	transposed-letters
abng	transposed-letters
abo	transposed-letters
ac	transposed-letters
aci	transposed-letters
acn	transposed-letters
acng	transposed-letters
aco	transposed-letters
ad	transposed-letters
adanxlai	phrase-mixed
adi	transposed-letters
adn	transposed-letters
adng	transposed-letters
ado	transposed-letters
adxl	phrase-initial
ae	adjacent-key
aei	adjacent-key
aen	adjacent-key
aeng	adjacent-key
af	transposed-letters
afn	transposed-letters
afng	transposed-letters
ag	missing-letter,transposed-letters
agi	transposed-letters
agn	transposed-letters
agng	transposed-letters
ago	transposed-letters
aguoxluk	phrase-mixed
agxlk	phrase-initial
ah	transposed-letters
aha	adjacent-key
ahai	adjacent-key
ahan	adjacent-key
ahang	adjacent-key
ahao	adjacent-key
ahaobyi	phrase-mixed
ahby	phrase-initial
ahe	adjacent-key
ahei	adjacent-key
ahen	adjacent-key
aheng	adjacent-key
ahi	adjacent-key,transposed-letters
ahn	transposed-letters
ahng	transposed-letters
aho	transposed-letters
ahou	adjacent-key
ahu	adjacent-key
ahua	adjacent-key
ahuai	adjacent-key
ahuan	adjacent-key
ahuang	adjacent-key
ahui	adjacent-key
ahun	adjacent-key
ahuo	adjacent-key
ai	adjacent-key,missing-letter,phrase-prefix,syllable
aig	phrase-prefix
aigu	phrase-prefix
aiguo	phrase-prefix
aiguox	phrase-prefix
aiguoxi	phrase-prefix
aiguoxil	phrase-prefix
aiguoxilu	phrase-prefix
aiguoxiluk	phrase-prefix
aiguoxiluko	phrase-prefix
aiguoxilukou	phrase-full
aih	phrase-prefix
aiha	phrase-prefix
aihao	phrase-prefix
aihaob	phrase-prefix
aihaobu	phrase-prefix
aihaobuy	phrase-prefix
aihaobuyi	phrase-full
ais	phrase-prefix
aish	phrase-prefix
aishu	phrase-prefix
aishup	phrase-prefix
aishupi	phrase-full
aiw	phrase-prefix
aiwe	phrase-prefix
aiwen	phrase-prefix
aiwenm	phrase-prefix
aiwenma	phrase-prefix
aiwenman	phrase-prefix
aiwenmang	phrase-prefix
aiwenmangg	phrase-prefix
aiwenmanggu	phrase-prefix
